,condition,ex2_order,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,ex2_allomorph
72,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_166,2.0,Mai,2.78125,-0.78125,simple,NaN,mismatch
73,Mis 3'.2,keit first,NaN,Dafür sind Großzügig- und Verbundenheit entscheidend.,participant_169,4.0,September,3.59375,0.40625,simple,NaN,mismatch
74,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_2,2.0,Juni,2.633333333,-0.6333333329999999,simple,NaN,mismatch
75,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_4,5.0,Februar,3.65625,1.34375,simple,NaN,mismatch
76,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_6,5.0,Februar,3.03125,1.96875,simple,NaN,mismatch
77,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_11,5.0,Februar,4.71875,0.28125,simple,NaN,mismatch
78,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_13,2.0,Februar,2.35483871,-0.3548387100000001,simple,NaN,mismatch
79,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_21,5.0,Februar,3.8125,1.1875,simple,NaN,mismatch
80,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_22,3.0,Februar,2.71875,0.28125,simple,NaN,mismatch
81,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_30,2.0,Februar,3.0625,-1.0625,simple,NaN,mismatch
82,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_50,3.0,Juni,3.0625,-0.0625,simple,NaN,mismatch
83,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_54,2.0,Juni,2.8125,-0.8125,simple,NaN,mismatch
84,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_57,4.0,Februar,3.59375,0.40625,simple,NaN,mismatch
85,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_60,2.0,Juni,2.71875,-0.71875,simple,NaN,mismatch
86,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_62,5.0,Februar,3.875,1.125,simple,NaN,mismatch
87,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_70,2.0,Februar,2.71875,-0.71875,simple,NaN,mismatch
88,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_74,4.0,Juni,3.3125,0.6875,simple,NaN,mismatch
89,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_84,4.0,Februar,3.96875,0.03125,simple,NaN,mismatch
90,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_85,5.0,Februar,4.0,1.0,simple,NaN,mismatch
91,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_86,6.0,Februar,4.0,2.0,simple,NaN,mismatch
92,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_88,2.0,Februar,2.09375,-0.09375,simple,NaN,mismatch
93,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_101,1.0,Juni,1.1875,-0.1875,simple,NaN,mismatch
94,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_105,5.0,Februar,3.75,1.25,simple,NaN,mismatch
95,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_110,1.0,Februar,1.78125,-0.78125,simple,NaN,mismatch
96,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_116,2.0,Juni,3.75,-1.75,simple,NaN,mismatch
97,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_123,5.0,Juni,3.84375,1.15625,simple,NaN,mismatch
98,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_132,2.0,Februar,1.9375,0.0625,simple,NaN,mismatch
99,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_133,5.0,Februar,4.15625,0.84375,simple,NaN,mismatch
100,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_138,2.0,Juni,2.34375,-0.34375,simple,NaN,mismatch
101,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_143,1.0,Februar,2.1875,-1.1875,simple,NaN,mismatch
102,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_145,4.0,Februar,4.15625,-0.15625,simple,NaN,mismatch
103,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_147,5.0,Juni,4.84375,0.15625,simple,NaN,mismatch
104,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_155,1.0,Februar,3.21875,-2.21875,simple,NaN,mismatch
105,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_167,4.0,Februar,3.8125,0.1875,simple,NaN,mismatch
106,Mis 3.4,heit first,NaN,Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,participant_168,5.0,Februar,4.03125,0.96875,simple,NaN,mismatch
107,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_2,2.0,Juni,2.633333333,-0.6333333329999999,simple,NaN,mismatch
108,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_5,2.0,Oktober,4.0625,-2.0625,simple,NaN,mismatch
109,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_9,1.0,Oktober,4.09375,-3.09375,simple,NaN,mismatch
110,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_18,3.0,Oktober,3.3125,-0.3125,simple,NaN,mismatch
111,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_25,1.0,Oktober,1.75,-0.75,simple,NaN,mismatch
112,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_48,5.0,Oktober,4.53125,0.46875,simple,NaN,mismatch
113,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_50,4.0,Juni,3.0625,0.9375,simple,NaN,mismatch
114,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_51,1.0,Oktober,1.96875,-0.96875,simple,NaN,mismatch
115,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_54,1.0,Juni,2.8125,-1.8125,simple,NaN,mismatch
116,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_58,4.0,Oktober,4.133333333,-0.1333333330000004,simple,NaN,mismatch
117,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_60,1.0,Juni,2.71875,-1.71875,simple,NaN,mismatch
118,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_67,1.0,Oktober,4.0,-3.0,simple,NaN,mismatch
119,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_74,2.0,Juni,3.3125,-1.3125,simple,NaN,mismatch
120,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_79,1.0,Oktober,2.25,-1.25,simple,NaN,mismatch
121,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_83,1.0,Oktober,2.09375,-1.09375,simple,NaN,mismatch
122,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_94,3.0,Oktober,2.90625,0.09375,simple,NaN,mismatch
123,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_97,2.0,Oktober,3.09375,-1.09375,simple,NaN,mismatch
124,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_101,1.0,Juni,1.1875,-0.1875,simple,NaN,mismatch
125,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_116,1.0,Juni,3.75,-2.75,simple,NaN,mismatch
126,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_117,1.0,Oktober,2.25,-1.25,simple,NaN,mismatch
127,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_122,1.0,Oktober,2.625,-1.625,simple,NaN,mismatch
128,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_123,1.0,Juni,3.84375,-2.84375,simple,NaN,mismatch
129,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_124,1.0,Oktober,2.78125,-1.78125,simple,NaN,mismatch
130,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_137,1.0,Oktober,1.9375,-0.9375,simple,NaN,mismatch
131,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_138,1.0,Juni,2.34375,-1.34375,simple,NaN,mismatch
132,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_147,6.0,Juni,4.84375,1.15625,simple,NaN,mismatch
133,Mis 3'.1,keit first,NaN,Die Geisterbahn ist voller Grausam- und Dunkelheit.,participant_158,1.0,Oktober,1.90625,-0.90625,simple,NaN,mismatch
134,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_3,5.0,Juli,3.733333333,1.266666667,simple,NaN,mismatch
135,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_7,5.0,Juli,3.903225806,1.096774194,simple,NaN,mismatch
136,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_14,6.0,März,3.3125,2.6875,simple,NaN,mismatch
137,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_15,6.0,Juli,4.59375,1.40625,simple,NaN,mismatch
138,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_20,6.0,März,3.59375,2.40625,simple,NaN,mismatch
139,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_34,1.0,Juli,3.1875,-2.1875,simple,NaN,mismatch
140,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_37,3.0,März,1.90625,1.09375,simple,NaN,mismatch
141,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_41,1.0,März,2.9375,-1.9375,simple,NaN,mismatch
142,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_42,4.0,Juli,2.84375,1.15625,simple,NaN,mismatch
143,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_49,5.0,Juli,3.3125,1.6875,simple,NaN,mismatch
144,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_65,3.0,Juli,2.5625,0.4375,simple,NaN,mismatch
145,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_87,3.0,Juli,3.59375,-0.59375,simple,NaN,mismatch
146,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_90,2.0,März,3.0,-1.0,simple,NaN,mismatch
147,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_95,3.0,März,2.5625,0.4375,simple,NaN,mismatch
148,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_106,1.0,Juli,1.65625,-0.65625,simple,NaN,mismatch
149,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_109,1.0,März,2.178571429,-1.1785714289999998,simple,NaN,mismatch
150,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_126,6.0,März,3.65625,2.34375,simple,NaN,mismatch
151,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_128,1.0,Juli,1.53125,-0.53125,simple,NaN,mismatch
152,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_136,1.0,März,1.8125,-0.8125,simple,NaN,mismatch
153,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_142,2.0,März,4.125,-2.125,simple,NaN,mismatch
154,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_148,2.0,März,1.875,0.125,simple,NaN,mismatch
155,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_149,2.0,Juli,2.71875,-0.71875,simple,NaN,mismatch
156,Mis 3.3,heit first,NaN,Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,participant_157,1.0,Juli,2.0,-1.0,simple,NaN,mismatch
157,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_3,3.0,Juli,3.733333333,-0.733333333,simple,NaN,mismatch
158,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_7,4.0,Juli,3.903225806,0.09677419399999998,simple,NaN,mismatch
159,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_14,4.0,März,3.3125,0.6875,simple,NaN,mismatch
160,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_15,4.0,Juli,4.59375,-0.59375,simple,NaN,mismatch
161,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_20,1.0,März,3.59375,-2.59375,simple,NaN,mismatch
162,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_34,1.0,Juli,3.1875,-2.1875,simple,NaN,mismatch
163,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_37,1.0,März,1.90625,-0.90625,simple,NaN,mismatch
164,Mis 3'.4,keit first,NaN,Der Papst erfreut sich großer Herrlich- und Berühmtheit.,participant_41,1.0,März,2.9375,-1.9375,simple,NaN,mismatch
